t_minus_t0_M,FastEMRIWaveforms_delta_h20_real_over_nu,FastEMRIWaveforms_delta_h20_imag_over_nu,effective_0PN_delta_h20_real_over_nu,effective_0PN_delta_h20_imag_over_nu,FastEMRIWaveforms_delta_h30_real_over_nu,FastEMRIWaveforms_delta_h30_imag_over_nu,effective_0PN_delta_h30_real_over_nu,effective_0PN_delta_h30_imag_over_nu
199948958313.46643,0.07171109649543321,-2.622427541843654e-19,0.02361268683571971,0.0,-4.693947081572668e-28,4.743854835277619e-09,0.0,1.9498022236865767e-10
199949035520.02142,0.07176998002768173,-2.6011304315374607e-19,0.02361319948293487,0.0,-4.590826528027862e-28,4.75620309957346e-09,0.0,1.949910169711438e-10
199949112470.96588,0.07182889483507879,-2.579918972866367e-19,0.023613710472787777,0.0,-4.6074328436061955e-28,4.768581662352131e-09,0.0,1.9500177709509874e-10
199949189167.14606,0.0718878409477193,-2.5588873950951855e-19,0.02361421981050753,0.0,-4.656076974807511e-28,4.780991972521896e-09,0.0,1.9501250284657106e-10
199949265609.40546,0.0719468184125381,-2.538137744351451e-19,0.023614727501307827,0.0,-4.736012786228415e-28,4.793434017403098e-09,0.0,1.9502319433131516e-10
199949341798.58475,0.07200582727266827,-2.5177653776149834e-19,0.023615233550386514,0.0,-4.846494142465625e-28,4.8059077843160845e-09,0.0,1.950338516547814e-10
199949417735.52176,0.07206486756754525,-2.4978590445427626e-19,0.023615737962925425,0.0,-4.986774908115671e-28,4.818413260581173e-09,0.0,1.9504447492211292e-10
199949493421.05164,0.07212393933289618,-2.478500968675324e-19,0.023616240744091296,0.0,-5.156108947774943e-28,4.830950433518681e-09,0.0,1.9505506423816408e-10
199949568856.00668,0.0721830426008059,-2.4597669279621375e-19,0.023616741899034985,0.0,-5.353750126040172e-28,4.843519290448956e-09,0.0,1.9506561970748434e-10
199949644041.21652,0.07224217739974419,-2.441726334650029e-19,0.023617241432892618,0.0,-5.578952307508202e-28,4.85611981869234e-09,0.0,1.950761414343418e-10
199949718977.508,0.07230134375461247,-2.4244423145195724e-19,0.02361773935078436,0.0,-5.830969356775432e-28,4.868752005569154e-09,0.0,1.9508662952269769e-10
199949793665.70517,0.07236054168671179,-2.4079717855025553e-19,0.02361823565781507,0.0,-6.109055138438455e-28,4.8814158383997285e-09,0.0,1.9509708407621924e-10
199949868106.6295,0.07241977121388675,-2.3923655356101173e-19,0.02361873035907458,0.0,-6.412463517093516e-28,4.894111304504382e-09,0.0,1.9510750519828593e-10
199949942301.09955,0.07247903235045396,-2.3776683002900313e-19,0.02361922345963675,0.0,-6.740448357337502e-28,4.9068383912034606e-09,0.0,1.9511789299196933e-10
199950016249.9313,0.07253832510728679,-2.3639188391093043e-19,0.023619714964560796,0.0,-7.092263523767385e-28,4.919597085817308e-09,0.0,1.9512824756006055e-10
199950089953.938,0.07259764949186145,-2.351150011824896e-19,0.023620204878890497,0.0,-7.467162880979426e-28,4.932387375666245e-09,0.0,1.9513856900505364e-10
199950163413.9302,0.07265700550826268,-2.3393888538415373e-19,0.023620693207654947,0.0,-7.864400293569775e-28,4.9452092480705875e-09,0.0,1.9514885742916128e-10
199950236630.71576,0.07271639315718907,-2.328656651051599e-19,0.023621179955867003,0.0,-8.28322962613542e-28,4.958062690350681e-09,0.0,1.951591129342815e-10
199950309605.09988,0.07277581243609875,-2.318969014035614e-19,0.02362166512852576,0.0,-8.722904743273433e-28,4.970947689826873e-09,0.0,1.9516933562205034e-10
199950382337.8851,0.07283526333907347,-2.3103359517055185e-19,0.02362214873061422,0.0,-9.18267950957996e-28,4.9838642338194786e-09,0.0,1.9517952559379165e-10
199950454829.87125,0.07289474585698431,-2.3027619442891167e-19,0.02362263076710063,0.0,-9.661807789651605e-28,4.9968123096488325e-09,0.0,1.9518968295054618e-10
199950527081.8556,0.07295425997749644,-2.296246015743919e-19,0.023623111242938862,0.0,-1.015954344808441e-27,5.009791904635251e-09,0.0,1.9519980779307816e-10
199950599094.63266,0.07301380568503234,-2.2907818055751685e-19,0.023623590163067008,0.0,-1.0675140349475472e-27,5.02280300609908e-09,0.0,1.9520990022184665e-10
199950670868.99448,0.0730733829609184,-2.286357640041014e-19,0.023624067532409324,0.0,-1.1207852358421963e-27,5.035845601360665e-09,0.0,1.952199603370458e-10
199950742405.73032,0.07313299178328604,-2.2829566027933474e-19,0.023624543355873894,0.0,-1.1756933339519935e-27,5.048919677740325e-09,0.0,1.9522998823855527e-10
199950813705.62692,0.0731926321271978,-2.2805566049123477e-19,0.023625017638355107,0.0,-1.232163715736536e-27,5.062025222558377e-09,0.0,1.9523998402599258e-10
199950884769.46838,0.07325230396467149,-2.2791304543714877e-19,0.023625490384731915,0.0,-1.2901217676555416e-27,5.075162223135167e-09,0.0,1.9524994779867607e-10
199950955598.03625,0.07331200726466189,-2.278645924923893e-19,0.023625961599869152,0.0,-1.3494928761687338e-27,5.088330666791041e-09,0.0,1.9525987965565266e-10
199951026192.10944,0.07337174199312547,-2.2790658244126924e-19,0.02362643128861617,0.0,-1.4102024277357104e-27,5.101530540846316e-09,0.0,1.9526977969566902e-10
199951096552.46426,0.07343150811300106,-2.280348062511391e-19,0.0236268994558084,0.0,-1.4721758088161302e-27,5.114761832621324e-09,0.0,1.9527964801720363e-10
