t_minus_t0_M,NRHybSur3dq8_CCE_delta_h20_real_over_nu,NRHybSur3dq8_CCE_delta_h20_imag_over_nu,SEOBNRv5EHM_delta_h20_real_over_nu,SEOBNRv5EHM_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_delta_h30_real_over_nu,NRHybSur3dq8_CCE_delta_h30_imag_over_nu,SEOBNRv5EHM_delta_h30_real_over_nu,SEOBNRv5EHM_delta_h30_imag_over_nu
293760.0,0.0006287662604376324,0.0,0.0006294007242636471,-1.0434903379486494e-30,0.0,3.694823006404606e-08,-4.8810768510550105e-30,3.5464761183574824e-08
294000.0,0.0006293427071126705,0.0,0.0006299771447205175,-5.494845757689847e-31,0.0,3.698400780387208e-08,5.768545369428649e-30,3.549911193191671e-08
294240.0,0.0006299190102156402,0.0,0.0006305536817274624,-4.378801635610679e-31,0.0,3.7019802830020125e-08,2.2186712959340957e-30,3.5533472812098195e-08
294480.0,0.000630495130208376,0.0,0.0006311303353194565,-7.90724338697435e-31,0.0,3.705561199884267e-08,-2.2186712959340957e-30,3.556784158763837e-08
294720.0,0.0006310710374672675,0.0,0.0006317071055278201,-3.793471071325607e-31,0.0,3.709143212708949e-08,-1.7749370367472766e-30,3.56022179038771e-08
294960.0,0.0006316467708137317,0.0,0.0006322839923829927,4.342034563482269e-32,0.0,3.712726357685466e-08,-4.8810768510550105e-30,3.563660136381776e-08
295200.0,0.0006322224231413225,0.0,0.0006328609959145279,2.5172084864220974e-31,0.0,3.716310951108409e-08,1.7749370367472766e-30,3.567099159844223e-08
295440.0,0.0006327980914460237,0.0,0.0006334381161514283,-2.1278391346261626e-31,0.0,3.7198972864934034e-08,0.0,3.570538867445269e-08
295680.0,0.0006333738930216406,0.0,0.0006340153531297679,6.044569507795437e-32,0.0,3.7234854225875525e-08,1.3312027775604574e-30,3.5739795306862645e-08
295920.0,0.0006339499546099193,0.0,0.0006345927068945966,7.595533571150419e-31,0.0,3.727075308861208e-08,-8.874685183736383e-31,3.577421290309998e-08
296160.0,0.0006345263866149012,0.0,0.0006351701774937378,7.92680419145167e-31,0.0,3.730666854360093e-08,-3.106139814307734e-30,3.580864250866846e-08
296400.0,0.0006351032305081292,0.0,0.0006357477649774972,4.838920215745359e-31,0.0,3.7342598006759306e-08,-4.8810768510550105e-30,3.584308516945421e-08
296640.0,0.00063568050944931,0.0,0.000636325469398663,5.517886397143915e-31,0.0,3.7378538450260406e-08,4.8810768510550105e-30,3.5877541931800055e-08
296880.0,0.0006362581934329064,0.0,0.0006369032908116523,2.1556706326245205e-31,0.0,3.741448585650978e-08,4.8810768510550105e-30,3.591201306538368e-08
297120.0,0.0006368361271675723,0.0,0.0006374812292678747,1.367764029441733e-30,0.0,3.7450433875490756e-08,3.993608332681372e-30,3.59464972759093e-08
297360.0,0.0006374141389129142,0.0,0.000638059284815309,1.4699714290583331e-30,0.0,3.748637589852689e-08,6.212279628615468e-30,3.59809933323496e-08
297600.0,0.0006379921273127567,0.0,0.000638637457499044,1.908983268509583e-30,0.0,3.7522308737146704e-08,-3.993608332681372e-30,3.601550001722621e-08
297840.0,0.0006385700878169681,0.0,0.0006392157473612826,1.46076205643553e-30,0.0,3.755823390700961e-08,-1.3312027775604574e-30,3.605001609853426e-08
298080.0,0.0006391480229852372,0.0,0.000639794154441215,1.7748656569277297e-30,0.0,3.7594153612831327e-08,1.3312027775604574e-30,3.6084540192842344e-08
298320.0,0.0006397259365236423,0.0,0.0006403726787717287,1.727655277078872e-30,0.0,3.76300757648848e-08,7.099748146989106e-30,3.611907046958245e-08
298560.0,0.0006403038330767652,0.0,0.0006409513203814545,1.5594630330381823e-30,0.0,3.766601294433401e-08,3.106139814307734e-30,3.6153607360007887e-08
298800.0,0.0006408817223615107,0.0,0.0006415300793007052,2.2960699252959694e-30,0.0,3.770197711640965e-08,-5.32481111024183e-30,3.6188151731483424e-08
299040.0,0.0006414596544859334,0.0,0.0006421089555617989,2.4213422739276635e-30,0.0,3.773797421453022e-08,-2.2186712959340957e-30,3.6222704409499386e-08
299280.0,0.0006420376989532644,0.0,0.0006426879491996244,2.9755444458198633e-30,0.0,3.7774007275734004e-08,-2.2186712959340957e-30,3.6257266884077004e-08
299520.0,0.0006426159089004577,0.0,0.0006432670602608398,3.3047602926141644e-30,0.0,3.781007773582657e-08,-5.768545369428649e-30,3.6291842768732945e-08
299760.0,0.0006431942662563984,0.0,0.0006438462888016702,3.1066343341007195e-30,0.0,3.784618019493478e-08,-3.549874073494553e-30,3.63264327488725e-08
300000.0,0.0006437727337969016,0.0,0.0006444256348793111,2.566988445459825e-30,0.0,3.788230740513697e-08,2.2186712959340957e-30,3.6361037123253014e-08
300240.0,0.0006443512938723397,0.0,0.0006450050985516438,2.7846845759055376e-30,0.0,3.791845114383868e-08,0.0,3.639565616962576e-08
300480.0,0.000644929975810292,0.0,0.0006455846798763319,1.9051903249014002e-30,0.0,3.7954600849422086e-08,7.987216665362745e-30,3.6430289288949705e-08
300720.0,0.0006455088157260118,0.0,0.0006461643789013287,1.5407717538634737e-30,0.0,3.7990745724517566e-08,5.32481111024183e-30,3.646493348346414e-08
300960.0,0.0006460878445361845,0.0,0.0006467441956666906,1.2315456133291864e-30,0.0,3.802687988162262e-08,4.8810768510550105e-30,3.6499587519343574e-08
301200.0,0.0006466670859303155,0.0,0.0006473241302098686,2.374788800777369e-30,0.0,3.806300425905091e-08,3.106139814307734e-30,3.653425031902823e-08
301440.0,0.0006472465628850252,0.0,0.0006479041825657845,1.9712558125040464e-30,0.0,3.8099120423476816e-08,7.543482406175925e-30,3.656892082561024e-08
301680.0,0.0006478262954119,0.0,0.0006484843527668438,2.2983207081174707e-30,0.0,3.813523199788754e-08,-1.3312027775604574e-30,3.6603597991996226e-08
301920.0,0.0006484063010844879,0.0,0.0006490646408446837,2.6611449838624254e-30,0.0,3.817134429610457e-08,4.437342591868191e-31,3.6638282046891933e-08
302160.0,0.0006489865868136025,0.0,0.0006496450468342315,2.8731697724098347e-30,0.0,3.820746254003287e-08,5.768545369428649e-30,3.6672974266884066e-08
302400.0,0.0006495670749117333,0.0,0.0006502255707735157,2.9906136688046676e-30,0.0,3.8243590816226667e-08,4.8810768510550105e-30,3.670767589159097e-08
302640.0,0.0006501476471476838,0.0,0.0006508062127035089,2.8108654192287972e-30,0.0,3.8279732667124205e-08,4.4373425918681914e-30,3.674238818229518e-08
302880.0,0.0006507281947328372,0.0,0.0006513869726681263,2.6104774563668267e-30,0.0,3.831589115326722e-08,1.3312027775604574e-30,3.67771123514452e-08
303120.0,0.0006513086503705742,0.0,0.0006519678507151848,1.5309146485016755e-30,0.0,3.8352067287939854e-08,5.768545369428649e-30,3.6811850220630785e-08
303360.0,0.0006518889579473785,0.0,0.0006525488468999802,2.3829896328390562e-30,0.0,3.838826153941515e-08,-4.8810768510550105e-30,3.684660282319796e-08
303600.0,0.000652469085938768,0.0,0.000653129961278819,3.36787725226322e-30,0.0,3.842447505495624e-08,3.106139814307734e-30,3.6881369451191726e-08
303840.0,0.0006530490609247775,0.0,0.0006537111939062808,3.0942639207016303e-30,0.0,3.8460710586317877e-08,1.7749370367472766e-30,3.691614936777065e-08
304080.0,0.000653628919237292,0.0,0.0006542925448352105,2.8916337086036206e-30,0.0,3.8496971089680663e-08,-5.32481111024183e-30,3.6950941835800115e-08
304320.0,0.0006542087561818659,0.0,0.000654874014116434,3.1983742392899824e-30,0.0,3.853325834001853e-08,8.874685183736383e-31,3.698574571802857e-08
304560.0,0.0006547887473690877,0.0,0.0006554556017909149,3.437780802233657e-30,0.0,3.8569572503844436e-08,4.8810768510550105e-30,3.702055758381879e-08
304800.0,0.000655369069409748,0.0,0.0006560373078893171,3.035437106821544e-30,0.0,3.860591331706223e-08,1.3312027775604574e-30,3.705537661078058e-08
305040.0,0.0006559498233916468,0.0,0.0006566191324412525,2.6800877241175252e-30,0.0,3.864227550760211e-08,6.656013887802287e-30,3.709020256682093e-08
305280.0,0.0006565310499459702,0.0,0.0006572010754758055,3.3815780296587725e-30,0.0,3.867864979448098e-08,3.549874073494553e-30,3.712503522677645e-08
305520.0,0.0006571127793120156,0.0,0.000657783137021813,3.3335817267831974e-30,0.0,3.871502694983421e-08,4.437342591868191e-31,3.715987476630552e-08
305760.0,0.0006576949750477167,0.0,0.0006583653171156434,3.21608540433873e-30,0.0,3.875139901498477e-08,-4.4373425918681914e-30,3.719472417764143e-08
